"55","111","112","RT htTweets : UriAttack : One more injured soldier succumbs to his injuries in Delhi R amp;R Hospital; death toll now 19 reports ANI","RT ImranKhanPTI : KP only province thinking of our future generations : Tackling climate change thru BillionTreeTsunami amp; clean energy URL","0"
"56","113","114","RT BalochukKohi : UriAttack Baramulla are enough to prove PakistanATerroristState now it time for India to hit it like 1971 amp; FreeBa ","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"57","115","116"," MEAIndia tufailelif mjakbar PMOIndia when govt will be taking military action against Pak Sir 4 UriAttacks Nation cannot wait anymore","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"58","117","118"," TimesNow with passage of time UriAttack tlks are diminishinghappns evrytym We expect a solid action on it IndianArmy IndusWaterTreaty","RT narendramodi : Thank you UN Secretary - General Ban Ki - moon for the kind words on Bapu amp; India s role in mitigating climate change URL","0"
"59","119","120"," TimesNow when he was able to target AAP why he is not questioning PMOIndia and manoharparrikar for UriAttack ArvindKejriwal","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"60","121","122","RT RajBabbarMP : The UriAttack is the most cowardly act by the enemies of our nation The martyred Jawans amp; their families will always be ","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"61","123","124","Twitter should ban Pakistan UriAttack Baramulla terrorist attacks and so many world wide","RT ANI news : In joining ParisAgreement today India has taken a bold amp; decisive step in combatting climate change : US Ambassador to India","0"
"62","125","126"," narendramodi SushmaSwaraj rajnathsingh we have to designate pakistan a terrorist state by legislation then we can ask usa UriAttack","RT POTUS : Gandhiji believed in a world worthy of our children In joining the Paris Agreement narendramodi amp; the Indian people carry on","0"
"63","127","128"," timesofindia narendramodi a coward was saying before the uriattack will not remain unpunished Now only a bakwas","RT htTweets : They are the Sustainable Development Goals and the ParisAgreement on Climate Change : PM narendramodi at inauguration of AMC","0"
"64","129","130"," Baramulla attack follows UriAttack Both in J amp;K But Modi Gov busy evacuating PunjabScheme before Punjab polls or strategic failure ","RT MEAIndia : PM : We welcome early entry into force of Paris Climate Agreement India was proud to ratify agreement on birth annive","0"
"65","131","132"," TimesNow we can light candles for innocent death of students in pak last year but pak actors even cannot condemn the UriAttack or any other"," ZeeNews Air quality will improved by creating good climatic conditions healthy environment","0"
"66","133","134"," rajnathsingh Sir Day 9 after UriAttack Tough words : many Diplomatic Isolation of PAK : yesReview meetings : mult URL","RT PMOIndia : They are the Sustainable Development Goals and the Paris Agreement on Climate Change : PM narendramodi","0"
"67","135","136"," manoharparrikar really sir we do not expect it Please do something UriAttacks Uri UriMartyrs URL","RT PMOIndia : They are the Sustainable Development Goals and the Paris Agreement on Climate Change : PM narendramodi","0"
"68","137","138"," gops333 Insensitive Callous Attitude of FekuRSS Sarkar Seen Repeatedly in All Pracharak Statements UriAttack URL","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"69","139","140"," TimesNow UriAttack ke against inlogon mein se kisiki munh nahi khuli ab bhaunk rahe haindeshdrohi saare ","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"70","141","142","On India watch w Surgical Strikes Across Line Of Control LoC At 7 Terror Camps after UriAttack URL","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"71","143","144","The view from Pakistan : Bellicose rhetoric after UriAttack will hurt both countries URL URL","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"72","145","146"," Pathankot Pampor UriAttack Gurdaspur amp; Now Baramulla attackClearly Shows That Pakistan Does not Want Peace It Want To Rest In Peace","RT ShashiTharoor : A triumph for IndianDiplomacy : assignment of a 100 visually challenged IFS trainee to Paris proves2be visionary URL","0"
"73","147","148"," ffsAaradhya Winkerbell the fact that pak got no support after surgical strike and everyone backed india after UriAttack is ISOLATION","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"74","149","150"," INCIndia OfficeOfRG shut up Just shut up u dynastic retard This is not the time to play ur politics UriAttacks","RT narendramodi : The message of Gandhi Ji inspires all of us India will always work with the world to overcome climate change amp; cre","0"
"75","151","152","Have sounded high alert on LoC IB : Army URL SergicalStrikes ModiPunishesPak UriAttack UriResponse","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"76","153","154"," ArvindKejriwal are you crazy or what Get your priorities right UriAttack","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
"77","155","156"," narendramodi Lets kill them w our economic growth education rate success sensible media amp; lot of talent Uriattack TerrorstatePakistan","RT narendramodi : I hope this year s theme of Environmental amp; Climate Literacy helps create awareness on protecting nature amp; natural reso","0"
